animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
204931,CAAAG1100503020,6,61,桃園市動物保護教育園區,貓,M,SMALL,黑色,,F,F,文化里頂湖十一街,,OPEN,,,2021-05-03,2999-12-31,2021/05/09,2021/05/03,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/23a4d5f8-ea10-4311-84f4-94d899924125_org.jpg,,2021/05/09,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
205819,AAADG2021050904,3,50,新北市板橋區公立動物之家,狗,M,MEDIUM,黑黃色,,F,F,廣和街,,OPEN,,,2021-05-21,2999-12-31,2021/05/09,2021/05/09,新北市板橋區公立動物之家,,,2021/05/09,新北市板橋區板城路28-1號,02-89662158
205816,110050905,2,49,臺北市動物之家,狗,F,SMALL,黑色,,F,F,舊莊街二段232巷,,OPEN,,,2021-05-09,2999-12-31,2021/05/09,2021/05/09,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/34af21b5-c11a-4d19-94ea-ae745d42d256._orgjpeg,,2021/05/09,臺北市內湖區潭美街852號,02-87913254
205815,110050904,2,49,臺北市動物之家,狗,F,SMALL,黑色,,F,F,舊莊街二段232巷,,OPEN,,,2021-05-09,2999-12-31,2021/05/09,2021/05/09,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/47a31a6e-752b-44f6-91bd-4152bd5570d8._orgjpeg,,2021/05/09,臺北市內湖區潭美街852號,02-87913254
205814,110050903,2,49,臺北市動物之家,狗,F,SMALL,咖啡色,,F,F,舊莊街二段232巷,,OPEN,,,2021-05-09,2999-12-31,2021/05/09,2021/05/09,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/68ce09c8-1935-4281-8bc1-cb629a25660a._orgjpeg,,2021/05/09,臺北市內湖區潭美街852號,02-87913254
205813,110050902,2,49,臺北市動物之家,狗,M,SMALL,黃色,,F,F,舊莊街二段232巷,,OPEN,,,2021-05-09,2999-12-31,2021/05/09,2021/05/09,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/29329194-54f1-46a9-a489-56a2949165bc._orgjpeg,,2021/05/09,臺北市內湖區潭美街852號,02-87913254
184415,CAAAG1091116030,6,61,桃園市動物保護教育園區,狗,M,BIG,黑棕色,,F,F,笨港里文頂路,,OPEN,,,2020-12-03,2999-12-31,2021/05/09,2020/11/16,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/005097f8-c79f-4690-afeb-3588c18bd7ca_org.jpg,,2021/05/09,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
205806,AAADG2021050902 ,3,50,新北市板橋區公立動物之家,貓,F,SMALL,黑白色,,F,F,大觀路一段28巷52號,,OPEN,,,2021-05-09,2999-12-31,2021/05/09,2021/05/09,新北市板橋區公立動物之家,,,2021/05/09,新北市板橋區板城路28-1號,02-89662158
184421,CAAAG1091116039,6,61,桃園市動物保護教育園區,狗,F,SMALL,黑色,,F,F,溪海里聖德北路,,OPEN,,,2020-11-17,2999-12-31,2021/05/09,2020/11/16,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/4b7b4db8-21e3-4b1e-a18c-ed10a4b508e5_org.jpg,,2021/05/09,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
204298,CAAAG1100428001,6,61,桃園市動物保護教育園區,狗,M,SMALL,咖啡色,,F,F,介壽路,,OPEN,,,2021-05-14,2999-12-31,2021/05/09,2021/04/28,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/e8272432-2881-432e-be3f-3854600fe033_org.jpg,,2021/05/09,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
