,收容所,留容最大值,(犬)在養數,燈號
0,新北市政府動物保護防疫處,20,33,red
1,新北市板橋區公立動物之家,347,195,green1
2,新北市新店區公立動物之家,170,167,yellow
3,新北市中和區公立動物之家,353,298,green1
4,新北市淡水區公立動物之家,85,56,green1
5,新北市瑞芳區公立動物之家,100,63,green1
6,新北市五股區公立動物之家,260,272,yellow
7,新北市八里區公立動物之家,160,115,green1
8,新北市三芝區公立動物之家,120,81,green1
9,臺北市動物之家,450,664,red
10,臺中市動物之家南屯園區,400,234,green1
11,臺南市動物之家灣裡站,400,389,yellow
12,臺南市動物之家善化站,300,498,red
13,高雄市壽山動物保護教育園區,250,258,yellow
14,高雄市燕巢動物保護關愛園區,650,665,yellow
15,桃園市動物保護教育園區,652,645,yellow
16,宜蘭縣流浪動物中途之家,270,145,green1
17,新竹縣公立動物收容所,114,156,red
18,苗栗縣生態保育教育中心(動物收容所),220,189,yellow
19,彰化縣流浪狗中途之家,239,154,green1
20,南投縣公立動物收容所,300,314,yellow
21,雲林縣流浪動物收容所,300,375,red
22,嘉義縣流浪犬中途之家,110,85,green1
23,屏東縣公立犬貓中途之家,80,80,yellow
24,臺東縣動物收容中心,104,68,green1
25,花蓮縣流浪犬中途之家,92,60,green1
26,澎湖縣流浪動物收容中心,348,415,yellow
27,基隆市寵物銀行,100,39,green
28,新竹市動物保護教育園區,250,131,green1
29,嘉義市動物保護教育園區,100,45,green
30,金門縣動物收容中心,200,78,green
31,連江縣流浪犬收容中心,120,56,green
