,Unnamed: 0,id,機構名稱,地址,連絡人,連絡電話,Email,距離(km),lat,lng
0,0,1,躍生動物醫院,新北市板橋區民權路258-2號1樓 room,丁肇民,0289681075,dvm@tpts5.seed.net.tw,,22.75753,120.26594
1,1,2,旺旺動物醫院,新北市板橋區中山路二段181號 room,徐淑文,0229524991,wan18101@ms37.hinet.net,,22.75753,120.26594
2,2,3,台安動物醫院,新北市板橋區三民路二段204號之2 room,周國政,0229622560,t25600@ms35.hinet.net,,22.75753,120.26594
3,3,4,維安動物醫院,新北市板橋區四維路174-3號 room,李政道,0222563107,annimo@titan.seed.net.tw,,22.75753,120.26594
4,4,5,台大動物醫院,新北市板橋區文化路二段11號 room,施明志,0229581215,topvet@ms35.hinet.net,,22.75753,120.26594
5,5,6,中信動物醫院,新北市板橋區信義路188號 room,林哲明,0229573534,jvh29573534@gmail.com,,22.75753,120.26594
6,6,7,雙十動物醫院,新北市板橋區雙十路二段4號1樓 room,沈志明,0222502000,p5798@ms17.hinet.net,,22.75753,120.26594
7,7,8,五洲動物醫院,新北市板橋區民權路250號 room,鄭馥璇,,sunjune@hotmail.com.tw,,22.75753,120.26594
8,8,9,尚德動物醫院,新北市板橋區南雅西路二段9號 room,羅章榮,0229650238,f3r619@ms35.hinet.net,,22.75753,120.26594
9,9,10,金妞妞動物醫院,新北市板橋區民安里民權路232號1樓 room,侯金蘭,0229698780,newnewvh@gmail.com,,22.75753,120.26594
10,10,11,富安家畜醫院,新北市板橋區柏翠里2鄰文化路二段335號1F room,楊坤富,0222513076,fun3076@ms36.hinet.net,,22.75753,120.26594
11,11,12,仁愛動物醫院,新北市板橋區民族路179號 room,張福台,0229594455,kindnessanimal1984@gmail.com,,22.75753,120.26594
12,12,13,嘉棋動物醫院,新北市板橋區四川路二段115號 room,廖家慧,89662551,a0937828210@gmail.com,,22.75753,120.26594
13,13,14,佳安動物醫院,新北市板橋區四川路一段234號 room,羅有論,0229511301,rabert1966@yahoo.com.tw,,22.75753,120.26594
14,14,15,中心動物醫院,新北市板橋區新海路30號1樓 room,張肇先,0222583540,jjason7185@gmail.com,,22.75753,120.26594
15,15,16,亞麥動物醫院,新北市板橋區國光路77號 room,林建群,0222724481,vetpher@yahoo.com,,22.75753,120.26594
16,16,17,隆安動物醫院,新北市板橋區忠孝路79號 room,姚勝隆,0289533055,28005204@yahoo.com.tw,,22.75753,120.26594
17,17,18,板新動物醫院,新北市板橋區中正路332之11號一樓 room,謝騰騫,02-29695866,BSAH930522@gmail.com,,22.75753,120.26594
18,18,19,聖博獸醫院,新北市板橋區重慶路299號1F room,陳穆村,02-29570958,a568.gary@msa.hinet.net,,22.75753,120.26594
19,19,20,牧村動物醫院,新北市板橋區民生路二段50號 room,吳鴻儒,89511172,frankie5688@gmail.com,,22.75753,120.26594
20,20,21,樂活動物醫院,新北市永和區中興街107號 room,楊博俊,29225805,amoeba0522@gmail.com,,22.75753,120.26594
21,21,22,台大文仁動物醫院,新北市板橋區篤行路3段64號1樓 room,張峰瑞,2683-312200#00,amber.zjuang@gmail.com,,22.75753,120.26594
22,22,23,藍世界動物醫院-樹林院,新北市樹林區中正路506號 room,姜臺生,2676578700#00,ts03@pie.com.tw,,22.75753,120.26594
23,23,24,四季動物醫院,新北市淡水區民族路33巷16-19號 room,黃玠晟,2809-9591#00,***@**.**.**,,22.75753,120.26594
24,24,25,愛達司動物醫院,新北市新店區中興路1段261號 room,陳稚文,8914-788800#00,***@**.**.**,,22.75753,120.26594
25,25,26,集賢愛生動物醫院,新北市三重區集賢路42號1樓 room,楊振墉,8287-584900#00,***@**.**.**,,22.75753,120.26594
26,26,27,紐約紐約動物醫院,新北市板橋區文化路二段139號 room,簡柏銓,22501636,,,22.75753,120.26594
27,27,28,馬達加斯加動物醫院,新北市板橋區文化路二段500號1樓 room,邱宗義,82595001,helio22helio22@yahoo.com.tw,,22.75753,120.26594
28,28,29,沐愛動物醫院,新北市板橋區國光路166號 room,林家佑,02-29602233,,,22.75753,120.26594
29,29,30,新北市寵物商業同業公會,新北市板橋區民族路141號 room,李敏賢,0937542180,ntcpets@gmail.com,,22.75753,120.26594
30,30,31,板橋動物醫院,新北市板橋區文化路二段522號1樓 room,林宗毅,,,,22.75753,120.26594
