,縣市,鄉鎮,登記單位數,登記數,除戶數,轉讓數,變更數,絕育數,絕育除戶數,免絕育數,絕育率,繁殖管理率
0,新北市,新北市,410,394731,116314,84232,227204,191220,36652,3467,55.52,40.04
1,臺北市,臺北市,346,301418,91474,51924,267290,166005,34699,1336,62.54,44.01
2,臺中市,臺中市,331,361442,92262,56616,177491,245371,38141,14268,76.99,61.28
3,臺南市,臺南市,209,225902,73449,34911,86474,115636,21581,6835,61.69,44.66
4,高雄市,高雄市,326,338631,90857,61790,133099,175848,29443,9286,59.09,45.98
5,桃園市,桃園市,234,230186,38680,50812,121859,131095,13174,2881,61.58,52.48
6,宜蘭縣,宜蘭縣,35,49850,15762,7420,37075,22366,3964,1939,53.98,40.80
7,新竹縣,新竹縣,40,45050,13281,9334,22289,22497,3374,1542,60.19,45.87
8,苗栗縣,苗栗縣,42,63766,16431,11857,36945,30349,4998,263,53.56,40.17
9,彰化縣,彰化縣,94,94180,13918,19870,39994,50862,4385,1638,57.91,51.09
10,南投縣,南投縣,30,56731,11399,9112,23392,37875,4682,1709,73.22,61.52
11,雲林縣,雲林縣,48,65577,14122,9620,25775,43661,6913,2775,71.42,60.27
12,嘉義縣,嘉義縣,20,47411,9778,8626,14200,28338,2422,882,68.87,56.52
13,屏東縣,屏東縣,81,67540,10170,17682,28807,36494,3318,1108,57.83,50.76
14,臺東縣,臺東縣,13,58843,21749,5511,29455,30774,9026,1223,58.63,39.04
15,花蓮縣,花蓮縣,38,62816,11730,7306,24268,30807,3136,1051,54.17,45.72
16,澎湖縣,澎湖縣,7,15287,5363,3003,9564,6198,1525,1267,47.09,38.86
17,基隆市,基隆市,24,37544,9743,7261,25024,18323,2545,89,56.75,42.26
18,新竹市,新竹市,52,34559,8620,7631,15376,18018,3376,1503,56.45,46.72
19,嘉義市,嘉義市,50,25665,3766,4152,8866,12895,1427,143,52.37,45.24
20,金門縣,金門縣,4,19373,7046,3976,15077,8107,1705,1706,51.93,41.85
21,連江縣,連江縣,1,1712,482,299,1645,768,123,7,52.44,38.08
